epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,10409,0.49341,0.39199,0.87008,0.97801,0.9918,0.99326,0.93201,0.32961,0.28051,0.79964,0.0013664,0.0013664,0.0013664
98,10502.2,0.5012,0.40616,0.87972,0.97196,0.98361,0.99343,0.92835,0.34311,0.2997,0.809,0.0013598,0.0013598,0.0013598
99,10594.6,0.52303,0.4,0.87825,0.98358,0.98185,0.99006,0.93557,0.33756,0.2921,0.81032,0.0013532,0.0013532,0.0013532
100,10685.1,0.4642,0.37273,0.87467,0.98742,0.97541,0.98332,0.93634,0.32769,0.28856,0.80645,0.0013466,0.0013466,0.0013466
101,10780.8,0.48893,0.39332,0.87098,0.96109,0.97951,0.99115,0.92924,0.34652,0.30191,0.8198,0.00134,0.00134,0.00134
102,10867,0.5059,0.39229,0.88699,0.99923,0.96311,0.99373,0.93494,0.33633,0.29735,0.81852,0.0013334,0.0013334,0.0013334
103,10964.4,0.51549,0.41608,0.88883,0.98568,0.94672,0.98789,0.9167,0.38049,0.33464,0.82372,0.0013268,0.0013268,0.0013268
104,11060.7,0.49608,0.388,0.88819,0.98742,0.96495,0.99275,0.92526,0.36626,0.3159,0.81527,0.0013202,0.0013202,0.0013202
105,11153.6,0.54852,0.41652,0.89655,0.96011,0.98654,0.9929,0.93162,0.34908,0.29835,0.81316,0.0013136,0.0013136,0.0013136
106,11212.7,0.49034,0.38604,0.87348,0.98667,0.96721,0.98896,0.92907,0.34983,0.29432,0.81567,0.001307,0.001307,0.001307
107,11280.1,0.52287,0.40373,0.88189,0.98308,0.97131,0.99187,0.92634,0.34983,0.30225,0.80848,0.0013004,0.0013004,0.0013004
108,11404.1,0.48025,0.37148,0.86291,0.98216,0.97131,0.99119,0.94268,0.32579,0.28602,0.80546,0.0012938,0.0012938,0.0012938
109,11529.1,0.47184,0.36492,0.86035,0.94034,0.98361,0.98653,0.93664,0.32042,0.30645,0.80205,0.0012872,0.0012872,0.0012872
110,11630.8,0.48253,0.38577,0.88752,0.96351,0.97389,0.9906,0.91987,0.34869,0.30918,0.80729,0.0012806,0.0012806,0.0012806
111,11691,0.4794,0.38797,0.87992,0.99498,0.95492,0.98391,0.93094,0.32678,0.30257,0.80429,0.001274,0.001274,0.001274
112,11752.8,0.51746,0.38753,0.87429,0.99037,0.96311,0.98371,0.9381,0.3164,0.2825,0.80266,0.0012674,0.0012674,0.0012674
113,11814,0.48166,0.37249,0.86986,0.99923,0.95492,0.99082,0.94097,0.33649,0.30875,0.80401,0.0012608,0.0012608,0.0012608
114,11901,0.50424,0.38596,0.8865,0.98733,0.95823,0.98871,0.93512,0.31638,0.29223,0.79931,0.0012542,0.0012542,0.0012542
115,11989.3,0.48677,0.38328,0.87682,0.97141,0.97461,0.9919,0.93506,0.32023,0.2839,0.80357,0.0012476,0.0012476,0.0012476
116,12051.5,0.45694,0.35389,0.85,0.97162,0.98361,0.99171,0.94745,0.31831,0.28297,0.80159,0.001241,0.001241,0.001241
117,12113,0.50123,0.38591,0.88345,0.99023,0.97541,0.99266,0.93536,0.33817,0.27844,0.80912,0.0012344,0.0012344,0.0012344
118,12174.8,0.46373,0.36883,0.87243,0.98293,0.97131,0.9918,0.93739,0.32544,0.28416,0.80014,0.0012278,0.0012278,0.0012278
119,12234.4,0.49284,0.39424,0.87893,0.98141,0.97131,0.9918,0.93897,0.32752,0.29503,0.79614,0.0012212,0.0012212,0.0012212
120,12292.9,0.45492,0.3543,0.85376,0.99482,0.97131,0.99273,0.93059,0.3431,0.29122,0.80319,0.0012146,0.0012146,0.0012146
121,12403.1,0.50277,0.38674,0.88147,0.99582,0.97526,0.98853,0.93742,0.33456,0.28478,0.80867,0.001208,0.001208,0.001208
122,12460.8,0.47324,0.37119,0.86779,0.99169,0.98361,0.99357,0.94443,0.31605,0.28149,0.80508,0.0012014,0.0012014,0.0012014
123,12519.5,0.51929,0.39413,0.88607,0.99162,0.9703,0.99175,0.93546,0.33096,0.28922,0.80783,0.0011948,0.0011948,0.0011948
124,12579.2,0.48702,0.38062,0.8786,0.986,0.96311,0.98901,0.93741,0.31398,0.28502,0.806,0.0011882,0.0011882,0.0011882
125,12638.9,0.43513,0.34573,0.85446,0.97956,0.98201,0.99308,0.93827,0.33898,0.28584,0.81227,0.0011816,0.0011816,0.0011816
126,12752.2,0.44958,0.3594,0.86444,0.98759,0.98361,0.99189,0.94081,0.31222,0.27347,0.80833,0.001175,0.001175,0.001175
127,12885.7,0.48515,0.37934,0.86896,0.98824,0.95492,0.98923,0.9433,0.31435,0.27553,0.80466,0.0011684,0.0011684,0.0011684
